Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
352,Jiří Pavlenka,CZE,GK,Werder Bremen,30,1992,32.3,1,0,1,0,0,1,5,20.0,4,1,0,1,3,4,21,1
353,Kristian Pedersen,DEN,DF,Köln,27,1994,3.1,5,4,4,1,0,0,2,0.0,2,3,0,3,6,11,17,0
354,Mads Pedersen,DEN,DF|MF,Augsburg,25,1996,20.4,44,23,31,11,2,22,33,66.7,11,32,9,23,20,64,41,1
355,Jordan Pefok,USA,FW,Union Berlin,26,1996,15.1,15,7,3,4,8,2,17,11.8,15,17,5,12,4,19,15,0
356,Dženan Pejčinović,GER,FW,Wolfsburg,17,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
357,Peter Pekarík,SVK,DF,Hertha BSC,35,1986,2.3,4,3,4,0,0,4,6,66.7,2,6,2,4,4,8,7,0
358,Luca Pellegrini,ITA,DF,Eint Frankfurt,23,1999,6.2,13,8,10,3,0,8,8,100.0,0,8,2,6,7,20,11,1
359,Ricardo Pepi,USA,FW,Augsburg,19,2003,1.1,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0
360,Juan Perea,COL,FW,Stuttgart,22,2000,4.6,5,4,0,2,3,2,4,50.0,2,2,1,1,1,6,3,0
361,Nils Petersen,GER,FW,Freiburg,33,1988,3.1,6,4,0,3,3,2,5,40.0,3,11,2,9,1,7,6,0
362,Lukas Petkov,BUL,MF|FW,Augsburg,21,2000,1.6,5,1,4,1,0,2,3,66.7,1,4,1,3,1,6,0,0
363,Luca Pfeiffer,GER,FW,Stuttgart,25,1996,7.8,1,1,1,0,0,0,1,0.0,1,4,0,4,1,2,5,0
364,Maximilian Philipp,GER,FW,Wolfsburg,28,1994,1.3,2,1,1,1,0,1,1,100.0,0,1,0,1,0,2,0,0
365,Maximilian Philipp,GER,FW|MF,Werder Bremen,28,1994,4.9,6,5,3,2,1,1,9,11.1,8,7,1,6,3,9,4,0
366,Amos Pieper,GER,DF,Werder Bremen,24,1998,21.7,46,28,25,19,2,24,40,60.0,16,23,11,12,30,76,94,1
367,Marvin Plattenhardt,GER,DF,Hertha BSC,30,1992,26.7,43,33,24,15,4,29,47,61.7,18,25,11,14,15,58,82,0
368,Alassane Pléa,FRA,FW,M'Gladbach,29,1993,19.7,16,8,5,7,4,8,26,30.8,18,23,3,20,12,28,14,0
369,Joel Pohjanpalo,FIN,FW|MF,Leverkusen,27,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
370,Sebastian Polter,GER,FW,Schalke 04,31,1991,7.0,4,3,0,4,0,1,4,25.0,3,4,0,4,1,5,6,0
371,Stefan Posch,AUT,DF,Hoffenheim,25,1997,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
372,Yussuf Poulsen,DEN,FW,RB Leipzig,28,1994,4.6,6,4,1,4,1,2,5,40.0,3,3,1,2,0,6,5,0
373,Grischa Prömel,GER,MF,Hoffenheim,27,1995,16.2,27,19,14,11,2,9,25,36.0,16,22,4,18,8,35,23,0
374,Tymoteusz Puchacz,POL,DF,Union Berlin,23,1999,0.6,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0
375,Eduardo Quaresma,POR,DF,Hoffenheim,20,2002,1.0,5,3,3,2,0,1,3,33.3,2,3,2,1,0,5,3,0
376,Joshua Quarshie,GER,MF,Hoffenheim,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
377,Diant Ramaj,GER,GK,Eint Frankfurt,20,2001,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
378,Nicolai Rapp,GER,MF|DF,Werder Bremen,25,1996,0.8,3,1,3,0,0,0,3,0.0,3,0,0,0,0,3,1,0
379,David Raum,GER,DF|MF,RB Leipzig,24,1998,18.7,39,25,23,12,4,17,29,58.6,12,24,6,18,16,55,26,1
380,Rocco Reitz,GER,MF,M'Gladbach,20,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
381,Marco Reus,GER,MF|FW,Dortmund,33,1989,15.0,30,17,12,14,4,7,24,29.2,17,12,4,8,8,38,8,0
382,Elvis Rexhbeçaj,GER,MF,Augsburg,24,1997,28.0,51,30,18,24,9,29,59,49.2,30,40,13,27,17,68,40,0
383,Gio Reyna,USA,FW|MF,Dortmund,19,2002,6.9,14,7,2,5,7,5,10,50.0,5,8,2,6,3,17,5,0
384,Marco Richter,GER,MF|FW,Hertha BSC,24,1997,20.4,43,23,18,17,8,19,48,39.6,29,29,2,27,24,67,25,0
385,Manuel Riemann,GER,GK,Bochum,33,1988,34.0,3,2,3,0,0,3,5,60.0,2,1,0,1,5,8,23,7
386,Sebastian Rode,GER,MF,Eint Frankfurt,31,1990,15.7,38,24,7,28,3,14,45,31.1,31,18,2,16,16,54,12,0
387,Agustín Rogel,URU,DF,Hertha BSC,24,1997,15.8,18,9,13,5,0,11,17,64.7,6,15,8,7,11,29,74,1
388,Merlin Röhl,GER,MF|FW,Freiburg,20,2002,0.6,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0
389,Tony Rölke,GER,FW,Hertha BSC,19,2003,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
390,Tom Rothe,GER,DF,Dortmund,17,2004,0.3,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,2,0
391,Jérôme Roussillon,FRA,MF|DF,Wolfsburg,29,1993,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
392,Jérôme Roussillon,FRA,DF,Union Berlin,29,1993,10.6,16,9,6,8,2,8,12,66.7,4,7,2,5,4,20,22,0
393,Sebastian Rudy,GER,MF,Hoffenheim,32,1990,8.8,26,12,10,16,0,13,27,48.1,14,27,7,20,11,37,13,0
394,Georginio Rutter,FRA,FW,Hoffenheim,20,2002,11.2,7,4,1,4,2,1,3,33.3,2,10,2,8,5,12,6,0
395,Julian Ryerson,NOR,DF,Union Berlin,24,1997,11.5,28,17,17,10,1,15,25,60.0,10,15,3,12,12,40,19,0
