Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
761,Freddie Veseli,ALB,DF,Salernitana,28,1992,9,596,66,17.4,6.6,8,73,4,1,12,10,0.56,5,15,-10,-1.51,-0.39,3.9,13.8,-9.9,-1.50,-0.90
762,Guglielmo Vicario,ITA,GK,Empoli,24,1996,38,3420,90,100.0,38.0,38,90,38,0,,0,1.08,50,70,-20,-0.53,,44.9,66.0,-21.2,-0.56,
763,Arturo Vidal,CHI,MF,Inter,34,1987,28,741,26,21.7,8.2,2,85,0,26,22,2,2.29,16,5,+11,+1.34,-0.04,17.7,7.9,+9.8,+1.20,+0.10
764,Ronaldo Vieira,ENG,MF,Sampdoria,23,1998,14,495,35,14.5,5.5,4,77,0,10,19,4,1.14,6,6,0,0.00,+0.52,5.7,10.0,-4.4,-0.80,-0.33
765,Luca Vignali,ITA,DF|MF,Spezia,25,1996,2,85,43,2.5,0.9,1,79,0,1,6,0,0.50,1,5,-4,-4.24,-3.53,1.1,3.0,-1.9,-2.00,-1.39
766,Emanuel Vignato,ITA,MF|DF,Bologna,20,2000,24,594,25,17.4,6.6,3,68,0,21,19,11,1.08,10,13,-3,-0.45,-0.20,10.1,11.8,-1.6,-0.25,-0.05
767,Gonzalo Villar,ESP,MF,Roma,23,1998,0,,,,,0,,0,0,,12,,,,,,,,,,,
768,Matías Viña,URU,DF|FW,Roma,23,1997,26,1565,60,45.8,17.4,18,80,9,8,16,8,1.77,26,24,+2,+0.12,-0.56,27.4,19.2,+8.3,+0.48,-0.42
769,Nicolas Viola,ITA,MF,Bologna,31,1989,6,102,17,3.0,1.1,1,51,0,5,10,18,0.17,1,4,-3,-2.65,-2.43,1.3,3.2,-2.0,-1.73,-1.57
770,Samuele Vitale,ITA,GK,Sassuolo,18,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
