Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
444,Nicola Murru,ITA,DF,Sampdoria,23,1994,35,2934,84,85.8,32.6,34,86,29,1,3,0,1.40,53,47,+6,+0.18,-0.37,46.3,50.2,-3.9,-0.12,-0.02
445,Mateo Musacchio,ARG,DF,Milan,27,1990,29,2610,90,76.3,29.0,29,90,29,0,,5,1.90,48,29,+19,+0.66,+0.66,40.4,33.4,+7.0,+0.24,+0.18
446,Juan Musso,ARG,GK,Udinese,24,1994,29,2610,90,76.3,29.0,29,90,29,0,,8,1.21,31,40,-9,-0.31,+0.25,32.6,47.1,-14.4,-0.50,-0.19
447,Ádám Nagy,HUN,MF,Bologna,23,1995,14,975,70,28.5,10.8,10,90,10,4,19,20,0.64,9,18,-9,-0.83,-0.87,9.4,14.3,-4.9,-0.45,-0.55
448,Radja Nainggolan,BEL,MF,Inter,30,1988,29,1967,68,57.5,21.9,22,80,11,7,28,2,1.90,33,17,+16,+0.73,+0.24,38.9,19.6,+19.3,+0.88,+0.50
449,Michel Ndary Adopo,FRA,MF,Torino,18,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
450,Angelo Ndrecka,ALB,DF,Chievo,16,2001,1,90,90,2.6,1.0,1,90,1,0,,6,0.00,0,4,-4,-4.00,-2.76,0.5,2.0,-1.5,-1.54,-0.93
451,Pedro Neto,POR,FW|DF,Lazio,18,2000,4,46,12,1.3,0.5,0,,0,4,12,11,1.50,0,1,-1,-1.96,-2.25,0.4,0.3,+0.1,+0.27,-0.08
452,Hans Nicolussi Caviglia,ITA,MF,Juventus,18,2000,3,57,19,1.7,0.6,0,,0,3,19,9,1.00,0,4,-4,-6.32,-7.49,0.2,0.9,-0.6,-0.98,-1.66
453,Dimitris Nikolaou,GRE,DF,Empoli,19,1998,4,348,87,10.2,3.9,4,87,3,0,,13,1.00,4,7,-3,-0.78,-0.31,3.2,10.6,-7.4,-1.93,-1.81
454,Lazar Nikolić,SRB,MF,SPAL,18,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
455,Fallou Njie,GAM,DF,Genoa,19,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
456,Nicolas Nkoulou,CMR,DF,Torino,28,1990,36,3214,89,94.0,35.7,36,89,35,0,,0,1.64,50,36,+14,+0.39,-0.04,44.3,43.0,+1.3,+0.04,+1.11
457,Bram Nuytinck,NED,DF,Udinese,28,1990,27,2127,79,62.2,23.6,24,87,21,3,14,3,1.04,18,31,-13,-0.55,-0.48,24.7,38.2,-13.5,-0.57,-0.31
458,Steven Nzonzi,FRA,MF,Roma,29,1988,30,2617,87,76.5,29.1,29,89,27,1,45,5,1.67,55,35,+20,+0.69,+0.91,48.0,40.0,+8.0,+0.28,-0.20
