Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
294,Fernando Marçal,BRA,DF|MF,Wolves,31,1989,6.9,2,0,0,12,3,0,13,12,5,0,0,0,30,11,8,57.9
295,Solly March,ENG,DF|MF,Brighton,26,1994,18.6,0,0,0,26,26,2,120,22,23,0,1,0,117,14,22,38.9
296,Pablo Marí,ESP,DF,Arsenal,26,1993,10.0,2,0,0,8,4,0,0,9,9,0,1,0,36,25,21,54.3
297,Anthony Martial,FRA,FW,Manchester Utd,24,1995,16.4,0,1,0,15,27,15,9,1,1,4,0,0,33,16,24,40.0
298,Gabriel Martinelli,BRA,FW,Arsenal,19,2001,6.5,0,0,0,9,4,1,12,8,1,0,0,0,22,7,13,35.0
299,Emiliano Martínez,ARG,GK,Aston Villa,27,1992,38.0,1,0,0,1,8,0,0,2,3,0,0,0,28,11,2,84.6
300,Arthur Masuaku,COD,DF|MF,West Ham,26,1993,11.2,2,0,0,10,8,1,41,8,12,0,1,0,62,8,14,36.4
301,Juan Mata,ESP,FW|MF,Manchester Utd,32,1988,5.7,0,0,0,1,4,2,13,3,0,0,0,0,25,1,2,33.3
302,Jean-Philippe Mateta,FRA,FW,Crystal Palace,23,1997,2.5,0,0,0,3,1,5,1,0,1,0,0,0,5,13,13,50.0
303,Nemanja Matić,SRB,MF,Manchester Utd,31,1988,12.3,2,0,0,14,6,0,4,22,11,0,0,0,116,19,10,65.5
304,Joël Matip,CMR,DF,Liverpool,28,1991,7.7,2,0,0,11,4,0,0,7,9,0,0,0,43,23,11,67.6
305,Neal Maupay,FRA,FW|MF,Brighton,23,1996,27.9,1,1,0,27,44,12,11,13,8,1,1,0,84,20,60,25.0
306,James McArthur,SCO,MF,Crystal Palace,32,1987,16.3,3,0,0,32,14,0,10,23,32,0,0,0,114,21,13,61.8
307,Oliver McBurnie,SCO,FW,Sheffield Utd,24,1996,14.7,2,0,0,24,26,4,4,6,7,1,0,0,32,139,120,53.7
308,Alex McCarthy,ENG,GK,Southampton,30,1989,30.0,2,0,0,0,2,0,0,0,0,0,0,0,37,4,1,80.0
309,James McCarthy,IRL,MF,Crystal Palace,29,1990,9.1,1,0,0,6,4,0,11,8,12,0,0,0,59,9,6,60.0
310,John McGinn,SCO,MF,Aston Villa,25,1994,37.0,12,0,0,43,77,1,52,43,37,1,0,0,234,21,48,30.4
311,David McGoldrick,IRL,FW|MF,Sheffield Utd,32,1987,26.6,7,0,0,45,33,17,21,2,21,0,0,0,78,88,115,43.3
