Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
275,Jérôme Hergault,FRA,DF,Lorient,35,1986,3.9,3,1,1,2,0,2,5,40.0,3,4,1,3,4,7,7,0
276,Ander Herrera,ESP,MF,Paris S-G,31,1989,12.1,29,17,7,16,6,14,39,35.9,25,22,8,14,14,43,8,0
277,Franck Honorat,FRA,FW|MF,Brest,24,1996,32.2,54,38,25,13,16,27,47,57.4,20,24,2,22,15,69,25,0
278,Fraser Hornby,SCO,FW|MF,Reims,21,1999,3.9,3,1,1,2,0,0,2,0.0,2,3,0,3,4,7,5,0
279,Cédric Hountondji,BEN,DF,Clermont Foot,27,1994,22.6,33,17,20,12,1,16,24,66.7,8,23,12,11,34,67,76,0
280,Suk Hyun-jun,KOR,FW|MF,Troyes,30,1991,1.7,0,0,0,0,0,0,0,,0,2,0,2,0,0,2,0
281,Mauro Icardi,ARG,FW,Paris S-G,28,1993,11.4,5,3,1,3,1,3,7,42.9,4,3,0,3,5,10,12,0
282,Jonathan Iglesias,URU,MF,Clermont Foot,32,1988,6.4,18,11,6,10,2,10,18,55.6,8,8,2,6,5,23,2,1
283,Juan Ignacio Ramírez,URU,FW,Saint-Étienne,24,1997,1.4,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0
284,Danylo Ihnatenko,UKR,MF,Bordeaux,24,1997,7.7,17,9,8,7,2,10,24,41.7,14,9,2,7,6,23,17,1
285,Jonathan Ikone,FRA,MF|FW,Lille,23,1998,11.8,11,3,6,4,1,4,11,36.4,7,13,1,12,5,16,4,0
286,Bonke Innocent,NGA,MF,Lorient,25,1996,9.7,27,16,10,16,1,11,26,42.3,15,11,3,8,16,43,14,0
287,Wilson Isidor,FRA,FW|MF,Monaco,20,2000,0.6,0,0,0,0,0,0,4,0.0,4,1,0,1,0,0,0,0
288,Ismail Jakobs,SEN,DF|FW,Monaco,21,1999,13.4,32,16,14,15,3,16,35,45.7,19,16,1,15,17,49,31,0
289,Marin Jakoliš,CRO,FW,Angers,24,1996,2.5,2,1,0,1,1,0,6,0.0,6,0,0,0,1,3,0,0
290,Abdel Jalil Medioub,ALG,DF,Bordeaux,23,1997,6.9,9,5,5,3,1,3,4,75.0,1,8,4,4,12,21,34,0
291,Léo Jardim,BRA,GK,Lille,26,1995,17.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0
292,Corentin Jean,FRA,FW|MF,Lens,26,1995,2.8,9,6,4,4,1,3,6,50.0,3,5,0,5,1,10,0,0
293,Jemerson,BRA,DF,Metz,28,1992,13.4,37,25,30,7,0,18,26,69.2,8,23,8,15,25,62,33,1
294,Moritz Jenz,GER,DF,Lorient,22,1999,15.3,26,12,18,6,2,11,24,45.8,13,19,11,8,28,54,55,0
295,Lenny Joseph,FRA,FW|MF,Metz,20,2000,1.7,2,1,1,1,0,0,0,,0,3,0,3,0,2,0,0
