Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
134,Marcus Coco,FRA,MF|FW,Nantes,25,1996,10.3,1,12,3,25.0,1.16,0.29,0.08,0.33,17.4,0,0,0,0.7,0.7,0.06,+0.3,+0.3
135,Abdu Conté,POR,DF,Troyes,23,1998,15.0,0,5,1,20.0,0.33,0.07,0.00,0.00,15.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
136,Sébastien Corchia,FRA,DF,Nantes,30,1990,14.7,0,11,3,27.3,0.75,0.20,0.00,0.00,27.7,4,0,0,0.4,0.4,0.04,-0.4,-0.4
137,Maxwel Cornet,CIV,DF,Lyon,24,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
138,David Pereira da Costa,POR,MF|FW,Lens,20,2001,16.3,3,25,8,32.0,1.54,0.49,0.12,0.38,19.9,0,0,0,2.1,2.1,0.08,+0.9,+0.9
139,Benoît Costil,FRA,GK,Bordeaux,34,1987,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
140,Kalifa Coulibaly,MLI,FW,Nantes,29,1991,9.4,5,26,10,38.5,2.75,1.06,0.19,0.50,9.2,0,0,0,4.7,4.7,0.18,+0.3,+0.3
141,Nicolas Cozza,FRA,DF,Montpellier,22,1999,30.8,2,6,3,50.0,0.19,0.10,0.33,0.67,14.5,0,0,0,1.6,1.6,0.26,+0.4,+0.4
142,Enzo Crivelli,FRA,FW|MF,Saint-Étienne,26,1995,1.1,0,3,1,33.3,2.65,0.88,0.00,0.00,14.1,0,0,0,0.5,0.5,0.18,-0.5,-0.5
143,Wylan Cyprien,FRA,MF,Nantes,26,1995,16.6,2,20,8,40.0,1.21,0.48,0.10,0.25,24.4,2,0,0,0.8,0.8,0.04,+1.2,+1.2
144,Lucas Da Cunha,FRA,MF,Nice,20,2001,4.4,0,10,3,30.0,2.29,0.69,0.00,0.00,24.4,1,0,0,0.8,0.8,0.08,-0.8,-0.8
145,Lucas Da Cunha,FRA,FW|MF,Clermont Foot,20,2001,9.3,2,18,6,33.3,1.94,0.65,0.11,0.33,19.8,0,0,0,1.7,1.7,0.09,+0.3,+0.3
146,Damien Da Silva,FRA,DF,Lyon,33,1988,12.5,0,12,1,8.3,0.96,0.08,0.00,0.00,10.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3
147,Colin Dagba,FRA,DF,Paris S-G,22,1998,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
148,Flavius Daniliuc,AUT,DF,Nice,20,2001,14.4,0,4,0,0.0,0.28,0.00,0.00,,10.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2
149,Kevin Danso,AUT,DF,Lens,22,1998,31.0,2,13,4,30.8,0.42,0.13,0.15,0.50,10.6,0,0,0,1.7,1.7,0.13,+0.3,+0.3
150,Dante,BRA,DF,Nice,37,1983,31.9,0,12,2,16.7,0.38,0.06,0.00,0.00,14.2,0,0,0,0.5,0.5,0.04,-0.5,-0.5
