Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
129,Demeaco Duhaney,ENG,DF,Huddersfield,19,1998,0.5,0,0,0,0,2,0,2,1,0,0,0,0,2,0,1,0.0
130,Paul Dummett,WAL,DF,Newcastle Utd,26,1991,22.1,1,0,0,11,10,1,32,37,22,0,1,0,80,58,27,68.2
131,Lewis Dunk,ENG,DF,Brighton,26,1991,35.0,6,1,1,22,14,0,2,46,26,0,0,0,206,119,63,65.4
132,Erik Durm,GER,DF,Huddersfield,26,1992,22.8,0,0,0,13,22,1,65,41,22,0,0,0,136,22,36,37.9
133,Bruno Ecuele Manga,GAB,DF,Cardiff City,30,1988,37.5,0,0,0,15,11,1,20,81,36,0,2,0,268,87,60,59.2
134,Ederson,BRA,GK,Manchester City,24,1993,38.0,2,0,0,2,3,0,0,1,3,0,2,0,52,11,0,100.0
135,Harvey Elliott,ENG,MF,Fulham,15,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
136,Mohamed Elneny,EGY,MF,Arsenal,26,1992,4.2,0,0,0,1,0,1,3,2,4,0,0,0,26,2,6,25.0
137,Mohamed Elyounoussi,NOR,MF,Southampton,23,1994,8.8,0,0,0,10,13,2,48,6,12,0,0,0,44,9,15,37.5
138,Christian Eriksen,DEN,MF,Tottenham,26,1992,30.8,3,0,0,17,16,2,117,15,25,0,0,0,188,13,34,27.7
139,Neil Etheridge,PHI,GK,Cardiff City,28,1990,38.0,2,0,0,0,5,0,0,7,1,0,0,0,33,7,0,100.0
140,Jonny Evans,NIR,DF,Leicester City,30,1988,22.2,2,0,0,21,17,0,1,33,13,0,1,0,113,72,37,66.1
141,Łukasz Fabiański,POL,GK,West Ham,33,1985,38.0,0,0,0,0,6,0,0,1,0,0,0,0,31,9,2,81.8
142,Fabinho,BRA,MF,Liverpool,24,1993,22.4,6,0,0,29,30,0,10,28,31,0,0,0,120,54,40,57.4
143,Cesc Fàbregas,ESP,MF,Chelsea,31,1987,2.0,1,0,0,1,3,0,1,1,4,0,0,0,17,2,4,33.3
