Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
87,Jamilu Collins,NGA,DF,Paderborn 07,24,1994,29.6,2195,124,843,1039,341,17,2194,79,42,53.2,37,46.8,1125,6853,3855,101,59,9,43,21,1163,57
88,Kingsley Coman,FRA,FW|MF,Bayern Munich,23,1996,16.7,998,1,74,330,609,117,998,97,58,59.8,39,40.2,750,5160,2824,113,46,49,47,36,817,329
89,Jhon Córdoba,COL,FW,Köln,26,1993,22.2,712,18,32,349,338,108,712,34,21,61.8,13,38.2,422,2215,631,30,18,18,94,46,534,134
90,Sergio Córdova,VEN,FW,Augsburg,21,1997,4.1,118,3,11,58,52,14,118,5,3,60.0,2,40.0,72,387,202,8,6,5,10,6,85,11
91,Danny da Costa,GER,DF|FW,Eint Frankfurt,26,1993,15.4,800,28,157,297,358,43,800,40,23,57.5,17,42.5,376,2083,935,40,19,12,22,10,451,144
92,Philippe Coutinho,BRA,MF|FW,Bayern Munich,27,1992,15.7,1041,1,53,501,499,72,1040,56,33,58.9,23,41.1,689,3882,2153,57,41,16,32,19,834,128
93,Mickaël Cuisance,FRA,MF|FW,Bayern Munich,19,1999,3.4,230,3,28,104,103,7,230,17,12,70.6,5,29.4,158,900,526,8,12,0,7,3,181,15
94,Matheus Cunha,BRA,FW|MF,Hertha BSC,20,1999,8.3,281,4,33,144,120,24,281,50,41,82.0,9,18.0,186,1512,853,25,19,11,16,23,193,30
95,Matheus Cunha,BRA,FW|MF,RB Leipzig,20,1999,3.1,144,1,4,59,82,21,144,10,5,50.0,5,50.0,93,503,258,9,7,5,10,13,105,13
96,Rafael Czichos,GER,DF,Köln,29,1990,24.5,1501,223,775,694,48,19,1501,14,9,64.3,5,35.7,774,4786,2842,30,12,1,11,5,849,7
97,Moanes Dabbur,ISR,FW,Hoffenheim,27,1992,8.5,347,1,32,170,150,35,347,23,10,43.5,13,56.5,217,938,429,9,6,1,18,17,258,65
98,Mahmoud Dahoud,GER,MF,Dortmund,23,1996,6.2,567,13,105,354,111,8,567,13,10,76.9,3,23.1,367,1801,815,7,8,0,11,8,455,11
99,Leon Dajaku,GER,DF|MF,Bayern Munich,18,2001,0.1,7,0,2,3,2,0,7,0,0,,0,,3,12,7,0,0,0,0,0,2,0
100,Vladimír Darida,CZE,MF,Hertha BSC,28,1990,25.1,1465,38,255,815,418,42,1465,36,24,66.7,12,33.3,780,4513,1807,43,43,8,49,44,919,106
101,Alphonso Davies,CAN,DF,Bayern Munich,18,2000,24.8,2172,60,539,1010,653,61,2172,129,82,63.6,47,36.4,1238,7792,4438,121,90,22,53,42,1320,191
102,Thomas Delaney,DEN,MF,Dortmund,27,1991,9.2,696,30,202,415,80,8,696,5,4,80.0,1,20.0,349,1334,537,9,7,1,8,7,471,6
103,Kerem Demirbay,GER,MF,Leverkusen,26,1993,17.5,1398,18,193,824,394,28,1398,39,28,71.8,11,28.2,780,4373,2027,34,29,8,33,21,962,37
104,Diego Demme,GER,MF,RB Leipzig,27,1991,13.5,1244,21,234,817,201,9,1244,19,11,57.9,8,42.1,729,3512,1824,18,26,2,24,9,935,16
105,Moussa Diaby,FRA,FW|MF,Leverkusen,20,1999,19.7,927,7,84,403,465,90,927,107,68,63.6,39,36.4,690,5855,3024,118,76,49,75,37,762,204
106,Javairô Dilrosun,NED,MF|FW,Hertha BSC,21,1998,14.5,584,9,121,287,194,33,584,55,38,69.1,17,30.9,340,3182,1733,64,43,18,37,22,364,65
107,Ji Dong-won,KOR,FW|MF,Mainz 05,28,1991,1.1,34,0,2,17,15,4,34,1,0,0.0,1,100.0,24,90,19,0,0,0,4,4,28,6
108,Bas Dost,NED,FW,Eint Frankfurt,30,1989,16.4,573,20,42,319,213,78,573,4,2,50.0,2,50.0,182,591,173,2,1,3,20,4,434,72
109,Mamadou Doucouré,FRA,MF,M'Gladbach,21,1998,0.0,9,0,4,5,0,0,9,0,0,,0,,8,33,5,0,0,0,0,0,8,0
110,Mohamed Dräger,TUN,DF,Paderborn 07,23,1996,16.2,1036,49,334,481,241,26,1036,45,15,33.3,30,66.7,563,4068,1982,61,32,13,26,20,570,61
111,Aleksandar Dragović,AUT,DF,Leverkusen,28,1991,11.4,1056,57,367,647,44,3,1056,1,1,100.0,0,0.0,576,2419,1348,9,8,0,2,1,772,1
112,Dominick Drexler,GER,MF|FW,Köln,29,1990,17.6,852,24,153,382,330,48,852,34,17,50.0,17,50.0,509,2888,1423,50,31,12,25,21,547,103
113,Ondrej Duda,SVK,MF,Hertha BSC,24,1994,5.0,248,6,28,152,74,10,248,23,18,78.3,5,21.7,143,708,283,8,8,6,10,11,166,19
114,Erik Durm,GER,DF|FW,Eint Frankfurt,27,1992,5.7,321,10,84,113,130,14,321,7,4,57.1,3,42.9,142,830,373,10,11,1,9,11,164,44
115,Johannes Eggestein,GER,MF|FW,Werder Bremen,21,1998,5.7,261,5,45,121,98,23,261,4,1,25.0,3,75.0,169,782,329,8,7,4,11,10,171,39
116,Maximilian Eggestein,GER,MF,Werder Bremen,22,1996,31.7,1796,72,343,1031,439,36,1796,46,22,47.8,24,52.2,1128,4751,2427,50,54,8,41,29,1176,112
117,Kingsley Ehizibue,NED,DF,Köln,24,1995,25.9,1476,86,493,692,309,17,1476,63,36,57.1,28,44.4,665,3834,2070,65,44,8,38,14,771,96
118,Ilay Elmkies,ISR,MF,Hoffenheim,19,2000,0.0,5,1,2,1,2,0,5,0,0,,0,,2,16,15,0,0,0,0,0,3,1
119,Nico Elvedi,SUI,DF,M'Gladbach,22,1996,29.1,2034,212,1119,903,31,12,2034,10,9,90.0,1,10.0,1254,6781,3947,28,13,2,13,4,1330,2
120,Breel Embolo,SUI,FW|MF,M'Gladbach,22,1997,17.2,654,6,50,312,304,89,653,76,41,53.9,35,46.1,463,2590,1095,35,33,18,73,47,496,120
121,Alexander Esswein,GER,FW|MF,Hertha BSC,29,1990,2.4,119,9,36,53,31,6,119,2,1,50.0,1,50.0,56,396,156,5,2,4,2,1,68,17
122,Antony Evans,ENG,MF|DF,Paderborn 07,20,1998,1.7,91,4,21,30,41,2,91,5,2,40.0,3,60.0,41,184,53,1,2,0,5,3,49,11
123,Simon Falette,GUI,DF,Eint Frankfurt,27,1992,1.0,76,12,43,33,2,2,76,1,1,100.0,0,0.0,40,266,145,0,0,0,0,0,38,0
124,Ohis Felix Uduokhai,GER,DF,Augsburg,21,1997,21.8,1198,213,764,418,27,12,1198,6,4,66.7,2,33.3,663,3565,1861,9,5,0,8,11,626,2
125,Edimilson Fernandes,SUI,MF|DF,Mainz 05,23,1996,16.5,915,64,248,538,140,6,915,21,14,66.7,7,33.3,517,2862,1219,12,8,1,31,22,568,29
126,Gelson Fernandes,SUI,MF,Eint Frankfurt,32,1986,8.6,348,20,110,219,24,1,348,4,1,25.0,3,75.0,127,590,232,0,3,1,4,1,145,1
127,Oliver Fink,GER,MF|FW,Düsseldorf,37,1982,7.5,371,12,61,192,124,22,371,10,6,60.0,4,40.0,151,696,293,9,7,5,16,12,225,43
128,Alfreð Finnbogason,ISL,FW,Augsburg,30,1989,10.7,349,10,41,160,148,41,348,12,6,50.0,6,50.0,193,755,247,6,2,3,34,13,235,49
129,Mark Flekken,NED,GK,Freiburg,26,1993,10.0,472,423,471,1,0,0,472,0,0,,0,,259,1486,841,0,0,0,0,0,212,0
130,Emil Forsberg,SWE,MF,RB Leipzig,27,1991,12.7,653,7,45,364,255,32,651,30,22,73.3,8,26.7,421,2649,1392,44,27,15,23,13,500,69
131,Raphael Framberger,GER,DF,Augsburg,23,1995,13.1,670,41,253,299,125,5,670,13,8,61.5,5,38.5,254,1380,629,19,9,1,20,12,244,24
132,Mike Frantz,GER,MF,Freiburg,32,1986,3.9,160,4,38,89,36,9,160,2,2,100.0,0,0.0,86,409,199,4,6,1,7,1,90,8
133,Marco Friedl,AUT,DF|MF,Werder Bremen,21,1998,24.3,1582,106,529,760,306,14,1582,21,13,61.9,8,38.1,845,3310,1628,24,21,3,19,20,859,80
134,Marvin Friedrich,GER,DF,Union Berlin,23,1995,31.0,1557,157,815,684,85,38,1557,19,12,63.2,7,36.8,864,4549,2471,14,11,0,16,8,858,9
135,Samúel Friðjónsson,ISL,MF,Paderborn 07,23,1996,2.1,132,8,62,59,11,1,132,0,0,,0,,67,200,57,0,0,0,3,1,74,2
136,Niclas Füllkrug,GER,FW,Werder Bremen,26,1993,4.5,172,6,11,70,91,31,172,7,4,57.1,3,42.9,89,405,217,11,6,5,7,5,143,48
137,Mijat Gaćinović,SRB,MF|FW,Eint Frankfurt,24,1995,11.6,505,6,82,253,182,26,505,27,14,51.9,13,48.1,266,1504,685,26,15,6,29,13,315,56
138,Theodor Gebre Selassie,CZE,DF|MF,Werder Bremen,32,1986,27.0,1619,104,463,876,285,40,1619,13,4,30.8,9,69.2,928,4354,2044,32,23,3,26,11,967,89
139,Dennis Geiger,GER,MF,Hoffenheim,21,1998,12.6,704,12,103,394,211,11,704,8,7,87.5,1,12.5,388,1922,899,18,17,0,15,16,477,46
140,Christian Gentner,GER,MF,Union Berlin,33,1985,27.1,1385,64,281,784,331,45,1385,24,15,62.5,9,37.5,655,2750,1183,23,27,4,35,13,756,71
