Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
156,Koni De Winter,BEL,DF,Empoli,20,2002,11.4,3,0,0,13,2,0,0,6,9,0,0,0,58,16,11,59.3
157,Grégoire Defrel,MTQ,FW,Sassuolo,31,1991,13.0,3,0,0,14,14,6,1,2,7,0,0,0,29,6,24,20.0
158,Duccio Degl'Innocenti,ITA,MF,Empoli,19,2003,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
159,Merih Demiral,TUR,DF,Atalanta,24,1998,17.1,5,0,0,13,13,1,2,24,29,0,0,0,123,52,29,64.2
160,Diego Demme,GER,MF,Napoli,30,1991,1.6,0,0,0,2,3,0,0,0,0,0,0,0,5,2,1,66.7
161,Fabio Depaoli,ITA,DF,Hellas Verona,25,1997,24.1,7,0,0,43,31,4,60,18,28,0,0,0,113,24,39,38.1
162,Fabio Depaoli,ITA,DF|MF,Sampdoria,25,1997,1.5,1,0,0,1,7,0,8,1,3,0,0,0,6,0,2,0.0
163,Kastriot Dermaku,ALB,DF,Lecce,30,1992,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
164,Cyriel Dessers,NGA,FW,Cremonese,27,1994,17.6,3,0,0,34,14,24,8,3,4,0,0,0,30,16,48,25.0
165,Sergiño Dest,USA,DF,Milan,21,2000,3.7,0,0,0,6,4,0,4,4,6,0,1,0,29,3,1,75.0
166,Mattia Destro,ITA,FW|MF,Empoli,31,1991,6.4,3,0,0,12,5,7,2,1,1,0,1,0,9,8,20,28.6
167,Gerard Deulofeu,ESP,FW,Udinese,28,1994,13.5,1,0,0,8,11,8,59,2,5,0,0,0,44,1,4,20.0
168,Samuel Di Carmine,ITA,FW|MF,Cremonese,33,1988,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0
169,Federico Di Francesco,ITA,FW|MF,Lecce,28,1994,22.6,5,0,0,43,32,13,45,8,16,1,0,0,86,7,21,25.0
170,Michele Di Gregorio,ITA,GK,Monza,25,1997,37.0,0,0,0,0,3,0,0,4,0,0,0,0,31,4,1,80.0
171,Giovanni Di Lorenzo,ITA,DF,Napoli,28,1993,36.2,2,0,0,31,36,4,88,30,29,0,0,0,171,41,34,54.7
172,Ángel Di María,ARG,FW|MF,Juventus,34,1988,15.1,1,1,0,6,24,4,97,7,5,0,0,0,52,1,6,14.3
173,Boulaye Dia,SEN,FW|MF,Salernitana,25,1996,28.0,4,0,0,28,43,13,6,7,5,0,0,0,97,20,58,25.6
174,Brahim Díaz,ESP,MF|FW,Milan,22,1999,21.4,3,0,0,29,50,2,20,7,15,1,0,0,100,4,24,14.3
175,Federico Dimarco,ITA,DF,Inter,24,1997,23.0,0,0,0,12,30,5,207,18,25,0,1,0,122,5,12,29.4
176,Koffi Djidji,CIV,DF,Torino,29,1992,26.9,3,0,0,27,3,1,13,34,25,0,2,0,141,47,50,48.5
177,Berat Djimsiti,ALB,DF,Atalanta,29,1993,20.0,3,0,0,15,8,0,0,36,19,0,0,0,112,59,42,58.4
178,Dodô,BRA,DF,Fiorentina,23,1998,25.9,5,1,1,28,40,0,61,25,22,0,1,0,184,19,13,59.4
179,Josh Doig,SCO,DF,Hellas Verona,20,2002,15.0,1,0,0,14,7,2,46,11,8,0,0,0,93,16,23,41.0
180,Nicolás Domínguez,ARG,MF,Bologna,24,1998,25.6,10,0,0,43,32,2,19,21,49,0,1,0,167,37,27,57.8
181,Giulio Donati,ITA,DF,Monza,32,1990,4.7,4,2,1,7,6,0,9,4,1,0,0,0,21,4,3,57.1
182,Bartłomiej Drągowski,POL,GK,Spezia,24,1997,32.7,1,0,0,0,6,0,0,1,0,0,0,0,38,8,1,88.9
183,Ondrej Duda,SVK,MF,Hellas Verona,27,1994,11.8,4,0,0,17,26,0,14,13,14,0,0,0,107,11,14,44.0
184,Denzel Dumfries,NED,DF,Inter,26,1996,24.6,4,0,0,31,39,2,82,12,18,2,1,1,90,41,41,50.0
185,Alfred Duncan,GHA,MF,Fiorentina,29,1993,12.3,3,0,0,26,12,1,26,8,10,0,0,0,67,9,7,56.3
186,Paulo Dybala,ARG,MF|FW,Roma,28,1993,19.3,5,0,0,10,56,5,82,8,4,2,0,0,81,4,16,20.0
187,Edin Džeko,BIH,FW,Inter,36,1986,19.2,3,0,0,26,24,10,24,3,2,0,0,0,60,41,43,48.8
188,Festy Ebosele,IRL,DF,Udinese,19,2002,4.6,4,0,0,11,7,0,16,2,10,0,0,0,36,6,4,60.0
