,Player,Nation,Pos,Squad,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Medium Cmp,Medium Att,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Cluster
85,Tom Cleverley,ENG,MF,Watford,1989,18.0,37,20,19,17,1,18,33,15,23,6,17,18,55,19,3,36,2.0,22,10,0,1,3,0,3,0.17,2,1,0,0,0,0,2,0,0,28,19,2,54,18,20,0,0,0,81,14,29,479,658,72.8,7468,2178,239,280,169,212,40,109,2,2.1,1.3,-0.1,20,42,8,5,64,803,34,176,394,241,10,803,6,3,3,348,1052,397,8,13,5,16,16,440,40,0,12,7,0.67,0.39,0.0,0.0,21.0,0,0,0,0.7,0.7,0.06,-0.7,-0.7,1
87,Conor Coady,ENG,DF,Wolves,1993,37.3,31,14,23,7,1,16,28,12,46,40,6,28,59,140,0,8,0.21,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,0,0,20,1,2,2,28,14,0,0,0,162,32,24,1514,1692,89.5,33155,12540,322,348,927,977,257,343,0,0.1,0.2,-0.1,3,51,3,0,35,1971,419,1300,649,31,19,1971,1,1,0,1144,5288,2626,6,3,1,6,1,1373,3,4,12,4,0.32,0.11,0.33,1.0,12.5,0,0,0,2.8,2.8,0.23,1.2,1.2,1
88,Séamus Coleman,IRL,DF,Everton,1988,29.5,61,36,35,16,10,33,51,18,30,11,19,32,93,80,2,47,1.59,37,3,2,2,3,0,5,0.17,3,0,0,0,2,0,4,0,0,14,17,2,41,32,36,1,0,1,188,25,23,914,1255,72.8,14739,6578,497,569,316,447,76,168,0,0.8,1.5,-0.8,13,86,26,13,96,1549,123,501,733,335,32,1549,49,34,15,697,3773,1872,40,30,4,30,20,713,77,1,8,1,0.27,0.03,0.13,1.0,18.3,0,0,0,1.2,1.2,0.15,-0.2,-0.2,1
89,Nathan Collins,IRL,DF,Burnley,2001,18.6,37,15,27,8,2,17,27,10,38,25,13,24,61,83,2,18,0.97,12,1,1,3,1,0,1,0.05,1,0,0,0,0,0,2,1,0,20,12,4,3,24,15,0,2,0,128,57,31,448,652,68.7,8648,3847,158,201,232,297,50,127,0,1.5,0.8,-1.5,6,46,5,1,44,882,149,433,376,81,38,882,8,5,3,382,2003,944,7,6,2,10,4,375,8,2,15,5,0.81,0.27,0.13,0.4,9.3,0,0,0,1.5,1.5,0.1,0.5,0.5,1
91,Liam Cooper,SCO,DF,Leeds United,1991,20.2,41,23,27,13,1,23,33,10,29,18,11,43,84,72,2,13,0.64,11,0,1,1,0,0,2,0.1,1,0,0,1,0,0,5,0,0,19,9,2,1,43,23,0,1,0,118,82,44,981,1183,82.9,18604,6591,335,378,547,600,86,171,1,0.1,0.2,0.9,4,31,0,0,46,1405,152,857,530,27,13,1405,4,3,1,748,3635,2147,7,3,0,9,1,822,2,0,6,1,0.3,0.05,0.0,0.0,10.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,1
95,Vladimír Coufal,CZE,DF,West Ham,1992,24.5,45,25,24,14,7,18,36,18,31,9,22,22,67,64,1,51,2.08,39,10,0,1,1,0,7,0.29,7,0,0,0,0,0,5,1,1,29,15,2,107,22,25,0,1,1,131,33,34,990,1439,68.8,15293,6881,538,630,362,524,63,186,4,2.1,2.6,1.9,21,63,30,16,113,1681,110,454,700,539,30,1681,23,15,8,778,4242,1992,51,38,5,30,15,888,119,0,11,4,0.45,0.16,0.0,0.0,17.7,0,0,0,0.8,0.8,0.07,-0.8,-0.8,1
97,Aaron Cresswell,ENG,DF,West Ham,1989,30.3,28,18,18,6,4,13,25,12,31,18,13,35,63,66,0,53,1.75,31,20,0,2,0,0,6,0.2,2,4,0,0,0,0,3,0,0,14,10,2,145,35,18,0,1,0,163,32,24,1656,2096,79.0,27331,11135,837,912,650,755,134,318,3,3.2,3.0,-0.2,31,131,19,12,186,2312,126,674,1078,576,22,2312,17,8,9,1305,5741,2727,54,45,2,14,4,1497,99,2,18,3,0.59,0.1,0.11,0.67,20.5,8,0,0,1.1,1.1,0.06,0.9,0.9,1
100,Marc Cucurella,ESP,DF,Brighton,1998,34.3,93,62,43,32,18,44,71,27,42,14,28,30,123,74,0,101,2.94,88,8,1,2,1,1,3,0.09,2,1,0,0,0,0,6,0,0,28,30,3,115,30,62,0,0,0,247,40,36,1890,2356,80.2,29046,9900,1014,1131,718,856,110,219,1,2.7,2.8,-1.7,42,158,49,17,191,2717,115,683,1205,848,53,2717,55,28,27,1431,6642,4085,104,64,8,40,15,1638,208,1,18,3,0.52,0.09,0.06,0.33,20.9,0,0,0,0.7,0.7,0.04,0.3,0.3,1
103,Stuart Dallas,NIR,DF|MF,Leeds United,1991,32.4,93,55,58,31,4,56,105,49,45,14,31,57,150,63,2,74,2.28,46,18,4,1,3,2,3,0.09,2,0,0,0,0,1,5,0,0,33,30,2,101,57,55,0,1,0,219,32,34,1306,1685,77.5,20351,7389,730,812,440,539,99,227,1,2.3,2.5,-1.3,31,108,24,5,170,2056,103,665,923,504,28,2056,43,29,14,985,5629,3146,82,53,8,39,25,1113,79,1,30,8,0.92,0.25,0.03,0.13,21.7,0,0,0,1.9,1.9,0.06,-0.9,-0.9,1
104,Diogo Dalot,POR,DF,Manchester Utd,1999,20.0,55,41,35,12,8,31,57,26,24,13,11,29,84,59,0,42,2.1,37,1,3,0,1,0,5,0.25,5,0,0,0,0,0,4,0,0,18,4,1,58,29,41,0,0,0,151,29,17,934,1193,78.3,17062,6008,407,477,396,490,117,181,0,1.2,1.3,-1.2,16,80,21,7,105,1422,86,450,649,337,27,1422,25,17,8,734,3825,2193,53,29,13,25,8,826,75,0,13,4,0.65,0.2,0.0,0.0,21.0,0,0,0,0.6,0.6,0.04,-0.6,-0.6,1
107,Ben Davies,WAL,DF,Tottenham,1993,28.2,36,21,20,12,4,13,26,13,32,19,13,30,66,75,1,30,1.06,28,1,0,1,0,0,3,0.11,2,0,0,1,0,0,6,0,0,31,18,5,19,30,21,0,1,0,106,67,52,1391,1648,84.4,22461,7504,696,757,602,681,68,137,1,0.5,0.9,0.5,11,112,14,3,137,1888,140,727,906,266,31,1888,11,7,4,1211,7055,4295,62,61,0,22,10,1344,60,1,18,7,0.64,0.25,0.06,0.14,17.1,0,0,0,2.3,2.3,0.13,-1.3,-1.3,1
110,Craig Dawson,ENG,DF,West Ham,1990,30.6,29,17,20,8,1,14,25,11,59,52,7,29,58,139,0,18,0.59,12,0,1,5,0,0,5,0.16,3,0,0,2,0,0,5,1,0,39,12,1,1,29,17,0,3,0,113,93,55,1035,1285,80.5,21842,7575,328,360,539,603,161,292,2,1.0,1.0,1.0,4,85,0,0,54,1606,273,844,691,73,45,1606,4,4,0,892,3899,2085,4,4,0,10,5,970,3,2,25,5,0.82,0.16,0.08,0.4,8.5,0,0,0,3.0,3.0,0.12,-1.0,-1.0,1
115,Leander Dendoncker,BEL,MF,Wolves,1995,21.7,42,17,25,14,3,22,50,28,37,10,27,9,51,38,1,27,1.25,25,0,0,1,0,1,7,0.32,5,0,0,1,0,1,4,0,0,13,6,0,5,9,17,0,0,0,107,30,33,709,822,86.3,11172,2199,328,377,301,328,45,57,2,1.1,0.4,0.9,11,52,4,0,64,1024,59,282,542,203,33,1024,10,5,5,461,1863,722,9,14,0,25,9,651,45,2,23,10,1.06,0.46,0.09,0.2,16.1,0,0,0,2.2,2.2,0.1,-0.2,-0.2,1
117,Kiernan Dewsbury-Hall,ENG,MF,Leicester City,1998,23.4,39,24,20,14,5,19,40,21,37,8,29,21,60,26,1,77,3.29,58,5,8,3,3,0,6,0.26,5,1,0,0,0,0,4,0,0,20,29,0,86,21,24,0,0,0,155,16,23,950,1250,76.0,13947,3778,542,623,308,394,55,134,2,2.7,2.6,-0.7,35,103,26,7,132,1516,47,286,756,498,41,1516,49,30,19,910,5877,3083,82,66,7,56,46,1076,98,1,21,3,0.9,0.13,0.05,0.33,21.6,1,0,0,1.2,1.2,0.06,-0.2,-0.2,1
119,Rúben Dias,POR,DF,Manchester City,1997,26.7,26,19,11,12,3,8,15,7,19,13,6,23,49,66,0,36,1.35,31,0,0,4,0,1,7,0.26,5,0,0,2,0,0,5,0,0,27,9,2,3,23,19,0,0,0,108,50,37,2133,2287,93.3,40019,12614,742,786,1201,1248,173,218,4,3.2,1.9,0.8,15,209,3,0,139,2471,151,777,1606,92,33,2471,4,2,2,1715,9468,6448,33,17,0,9,3,1977,4,2,18,3,0.67,0.11,0.11,0.67,11.8,0,0,0,2.7,2.7,0.15,-0.7,-0.7,1
121,Eric Dier,ENG,DF,Tottenham,1994,34.1,15,9,6,8,1,7,14,7,37,32,5,27,42,142,1,30,0.88,25,0,0,4,0,1,5,0.15,3,0,0,2,0,0,1,0,0,12,9,0,1,27,9,0,0,1,131,70,54,2056,2341,87.8,39774,16697,680,719,1138,1216,211,351,0,1.1,1.1,-1.1,7,98,9,1,103,2610,421,1452,1111,57,23,2610,2,1,1,1737,9384,5011,13,13,3,5,2,1971,6,0,13,4,0.38,0.12,0.0,0.0,14.4,4,0,0,1.2,1.2,0.09,-1.2,-1.2,1
128,Gabriel Dos Santos,BRA,DF,Arsenal,1997,34.0,50,30,36,12,2,30,41,11,34,26,8,13,63,112,4,22,0.65,19,0,0,2,0,1,1,0.03,1,0,0,0,0,0,8,1,1,23,38,1,1,13,30,0,0,0,178,55,39,1828,2049,89.2,34814,11568,602,634,1069,1129,144,248,0,0.7,0.6,-0.7,9,126,2,0,110,2343,312,1150,1106,100,47,2343,4,4,0,1554,8318,5214,12,14,1,18,5,1700,9,5,29,12,0.85,0.35,0.17,0.42,11.2,0,0,0,3.2,3.2,0.11,1.8,1.8,1
129,Abdoulaye Doucouré,MLI,MF,Everton,1993,28.2,75,43,30,37,8,32,71,39,33,8,25,28,103,32,0,57,2.02,50,0,3,3,0,1,7,0.25,5,0,1,1,0,0,6,0,0,39,16,1,11,28,43,0,0,0,213,35,37,864,1097,78.8,12771,3058,490,581,296,351,45,72,4,2.0,1.3,2.0,19,81,19,0,113,1390,63,329,745,339,44,1390,41,21,20,694,3500,1770,33,28,6,43,22,764,54,2,34,11,1.21,0.39,0.06,0.18,17.9,0,0,0,2.2,2.2,0.06,-0.2,-0.2,1
133,Shane Duffy,IRL,DF,Brighton,1992,16.0,15,12,12,3,0,8,14,6,24,18,6,16,31,76,1,9,0.56,7,0,0,2,0,0,1,0.06,0,0,0,1,0,0,7,0,0,15,5,1,1,16,12,0,0,0,68,65,26,906,1039,87.2,18829,5992,249,277,535,572,117,177,0,0.2,0.2,-0.2,4,50,1,0,41,1218,189,678,492,52,31,1218,1,1,0,627,2379,1312,3,7,0,7,0,851,3,1,22,5,1.38,0.31,0.05,0.2,11.3,0,0,0,1.0,1.0,0.04,0.0,0.0,1
135,Lewis Dunk,ENG,DF,Brighton,1991,28.6,10,8,5,5,0,5,11,6,32,28,4,27,37,113,3,20,0.7,16,1,0,3,0,0,3,0.1,2,1,0,0,0,0,3,1,0,9,4,0,3,27,8,0,0,0,170,81,37,1726,1958,88.2,35875,11690,467,508,1019,1077,228,338,0,0.4,0.4,-0.4,3,87,4,1,83,2197,281,1180,949,76,37,2197,4,4,0,1306,5934,2863,14,7,2,11,3,1575,3,1,19,7,0.66,0.24,0.05,0.14,10.8,0,0,0,1.3,1.3,0.07,-0.3,-0.3,1
143,Emerson,BRA,DF|MF,Tottenham,1999,25.4,72,47,50,16,6,36,67,31,25,2,23,22,94,92,1,50,1.97,42,0,4,2,2,0,4,0.16,4,0,0,0,0,0,5,0,0,28,45,2,74,22,47,0,0,0,152,33,42,1170,1450,80.7,16330,4045,686,762,368,459,52,94,1,2.2,3.0,-1.2,28,32,28,14,68,1765,98,579,666,530,56,1765,34,17,17,911,4344,2277,68,28,8,27,18,1019,175,1,15,4,0.59,0.16,0.07,0.25,14.6,0,0,0,1.5,1.5,0.1,-0.5,-0.5,1
