Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
117,Rober Correa,ESP,DF,Eibar,26,1992,10.3,13,6,8,3,2,6,10,60.0,4,6,4,2,16,29,31,0
118,Thierry Correia,POR,DF,Valencia,20,1999,2.9,8,3,5,3,0,1,2,50.0,1,5,0,5,2,10,10,0
119,Antonio Cortés,ESP,FW|MF,Granada,19,2000,2.0,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,2,0
120,Diego Costa,ESP,FW,Atlético Madrid,30,1988,15.0,9,5,1,4,4,1,10,10.0,9,4,2,2,3,12,10,0
121,Jaume Costa,ESP,DF,Valencia,31,1988,15.4,27,23,17,8,2,14,28,50.0,14,11,6,5,24,51,52,1
122,David Costas,ESP,DF,Celta Vigo,24,1995,3.8,4,3,3,1,0,2,4,50.0,2,3,3,0,8,12,12,0
123,Thibaut Courtois,BEL,GK,Real Madrid,27,1992,34.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,18,2
124,Sebastián Cristóforo,URU,MF,Eibar,25,1993,9.7,35,19,11,14,10,13,32,40.6,19,25,3,22,8,43,2,0
125,Cucho,COL,FW|MF,Mallorca,20,1999,16.5,15,8,6,8,1,6,21,28.6,15,14,1,13,10,25,15,0
126,Marc Cucurella,ESP,MF|DF,Getafe,21,1998,36.0,74,51,23,38,13,24,76,31.6,52,58,8,50,36,110,28,1
127,Iván Cuéllar,ESP,GK,Leganés,35,1984,27.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,28,2
128,Moanes Dabbur,ISR,FW,Sevilla,27,1992,0.3,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0
129,Sergi Darder,ESP,MF,Espanyol,25,1993,29.5,47,23,11,26,10,17,58,29.3,41,30,1,29,24,71,23,1
130,Ousmane Dembélé,FRA,FW,Barcelona,22,1997,4.0,2,2,1,1,0,2,5,40.0,3,4,0,4,0,2,0,1
131,Deyverson,BRA,FW,Getafe,28,1991,2.3,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,5,0
132,Mouctar Diakhaby,GUI,DF,Valencia,22,1996,16.0,11,8,7,3,1,5,8,62.5,3,17,15,2,11,22,73,0
133,Brahim Díaz,ESP,FW,Real Madrid,19,1999,0.7,1,0,0,1,0,0,2,0.0,2,2,0,2,0,1,0,0
134,Víctor Díaz,ESP,DF,Granada,31,1988,32.0,74,43,38,31,5,31,60,51.7,29,53,23,30,48,122,94,1
