Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
545,Leonardo Spinazzola,ITA,DF,Roma,27,1993,23.6,957,1227,78.0,16192,4598,485,569,85.2,358,431,83.1,93,157,59.2,4,5.0,3.7,-1.0,33,74,45,21,105
546,Marco Sportiello,ITA,GK,Atalanta,28,1992,14.0,315,376,83.8,8191,5344,64,64,100.0,160,160,100.0,89,149,59.7,0,0.0,0.0,0.0,0,2,0,0,0
547,Mattia Sprocati,ITA,MF|FW,Parma,27,1993,0.2,4,4,100.0,48,4,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
548,Thomas Strakosha,ALB,GK,Lazio,25,1995,9.0,294,344,85.5,7185,5564,81,81,100.0,124,127,97.6,85,132,64.4,0,0.0,0.0,0.0,0,4,0,0,0
549,Kevin Strootman,NED,MF,Genoa,30,1990,14.6,683,849,80.4,10853,3015,354,402,88.1,256,298,85.9,53,98,54.1,4,2.7,1.4,+1.3,23,61,17,4,78
550,Jens Stryger Larsen,DEN,DF,Udinese,29,1991,29.3,1022,1314,77.8,15641,6484,591,657,90.0,334,437,76.4,67,149,45.0,0,1.3,1.4,-1.3,10,78,20,5,107
551,Stefano Sturaro,ITA,MF,Hellas Verona,27,1993,4.7,137,183,74.9,2385,565,65,81,80.2,54,67,80.6,14,21,66.7,0,0.0,0.1,0.0,0,10,3,1,11
552,Stefano Sturaro,ITA,MF,Genoa,27,1993,4.9,165,236,69.9,3031,705,69,89,77.5,70,88,79.5,21,41,51.2,0,0.3,0.3,-0.3,4,9,2,1,24
553,Bosko Sutalo,CRO,DF,Atalanta,20,2000,2.6,128,165,77.6,1813,671,82,97,84.5,36,47,76.6,7,8,87.5,0,0.1,0.3,-0.1,2,7,0,0,10
554,Mattias Svanberg,SWE,MF,Bologna,21,1999,20.6,512,653,78.4,8602,2821,245,293,83.6,212,248,85.5,40,59,67.8,2,2.5,1.8,-0.5,15,51,18,0,88
555,Wojciech Szczęsny,POL,GK,Juventus,30,1990,29.7,919,1016,90.5,21589,13534,214,214,100.0,482,489,98.6,221,307,72.0,1,0.0,0.0,+1.0,1,5,0,0,1
556,Adrien Tameze,CMR,MF,Hellas Verona,26,1994,25.6,802,1014,79.1,14073,3190,359,426,84.3,332,394,84.3,87,127,68.5,0,0.6,1.1,-0.6,11,71,18,2,101
557,Ciprian Tătărușanu,ROU,GK,Milan,34,1986,1.0,24,26,92.3,465,326,7,7,100.0,14,14,100.0,3,5,60.0,0,0.0,0.0,0.0,0,0,0,0,0
558,Andrés Tello,COL,DF|MF,Benevento,23,1996,4.6,133,191,69.6,2095,760,70,81,86.4,47,72,65.3,10,22,45.5,0,0.0,0.2,0.0,1,12,3,0,20
559,Hidde ter Avest,NED,DF,Udinese,23,1997,3.9,148,205,72.2,2306,1090,82,98,83.7,54,77,70.1,10,20,50.0,0,0.0,0.2,0.0,0,14,0,0,18
560,Pietro Terracciano,ITA,GK,Fiorentina,30,1990,3.0,49,88,55.7,2195,1879,1,1,100.0,10,10,100.0,38,77,49.4,0,0.0,0.0,0.0,0,4,0,0,0
561,Claudio Terzi,ITA,DF,Spezia,36,1984,20.8,1125,1348,83.5,24797,9399,349,371,94.1,527,584,90.2,238,349,68.2,1,0.5,0.4,+0.5,5,109,5,0,83
562,Morten Thorsby,NOR,MF,Sampdoria,24,1996,29.4,737,986,74.7,10152,3497,443,534,83.0,225,305,73.8,29,54,53.7,1,1.1,0.9,-0.1,18,57,5,1,80
563,Jeremy Toljan,GER,DF,Sassuolo,25,1994,16.6,791,896,88.3,11513,2922,479,506,94.7,250,282,88.7,41,67,61.2,2,0.8,1.4,+1.2,14,50,20,7,67
564,Rafael Tolói,ITA,DF,Atalanta,29,1990,28.2,1394,1698,82.1,24390,8805,669,718,93.2,564,662,85.2,140,243,57.6,0,1.2,1.5,-1.2,15,160,18,5,157
565,Takehiro Tomiyasu,JPN,DF,Bologna,21,1998,30.2,1366,1677,81.5,24350,9450,591,671,88.1,614,727,84.5,138,221,62.4,0,0.4,0.9,-0.4,8,130,10,5,150
566,Fikayo Tomori,ENG,DF,Milan,22,1997,16.3,810,918,88.2,15148,5662,290,315,92.1,425,452,94.0,80,120,66.7,0,0.0,0.1,0.0,0,32,0,0,41
567,Sandro Tonali,ITA,MF,Milan,20,2000,14.8,630,772,81.6,10959,3255,282,326,86.5,267,304,87.8,64,98,65.3,0,1.3,1.6,-1.3,16,66,14,1,84
568,Lorenzo Tonelli,ITA,DF,Sampdoria,30,1990,19.8,742,913,81.3,15266,4824,226,256,88.3,395,447,88.4,110,183,60.1,0,0.0,0.1,0.0,0,22,0,0,42
569,Ernesto Torregrossa,VEN,FW,Sampdoria,28,1992,1.9,32,43,74.4,355,73,23,29,79.3,4,5,80.0,1,2,50.0,0,0.2,0.1,-0.2,3,0,1,0,3
570,Mattéo Tramoni,FRA,MF|FW,Cagliari,20,2000,0.8,11,16,68.8,128,54,9,11,81.8,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
571,Chaka Traorè,CIV,FW|DF,Parma,15,2004,0.2,6,10,60.0,64,25,5,8,62.5,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
572,Alessandro Tripaldelli,ITA,DF,Cagliari,21,1999,3.3,75,116,64.7,1284,667,34,43,79.1,31,53,58.5,7,9,77.8,0,0.1,0.0,-0.1,1,3,0,0,10
573,Alessandro Tuia,ITA,DF,Benevento,30,1990,19.6,626,809,77.4,12975,5152,189,214,88.3,340,396,85.9,91,173,52.6,0,0.3,0.2,-0.3,3,38,3,0,44
574,Ľubomír Tupta,SVK,FW,Hellas Verona,22,1998,0.6,2,2,100.0,17,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
575,Destiny Udogie,ITA,DF|MF,Hellas Verona,17,2002,1.9,102,122,83.6,1456,416,65,71,91.5,30,36,83.3,5,7,71.4,0,0.0,0.0,0.0,1,8,0,0,7
576,Samir Ujkani,KVX,GK,Torino,32,1988,1.0,23,27,85.2,622,503,1,1,100.0,12,12,100.0,9,12,75.0,0,0.0,0.0,0.0,0,0,0,0,0
577,Kacper Urbanski,POL,FW,Bologna,15,2004,0.0,6,7,85.7,117,24,2,2,100.0,3,3,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,3
