Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
300,Mehdi Léris,ALG,DF|MF,Sampdoria,22,1998,4.3,1,0,0,13,3,0,17,12,5,0,0,0,43,7,8,46.7
301,Karlo Letica,CRO,GK,Sampdoria,23,1997,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
302,Gaetano Letizia,ITA,DF,Benevento,30,1990,17.4,2,0,0,14,22,0,84,20,25,0,0,0,116,13,8,61.9
303,Matthijs de Ligt,NED,DF,Juventus,20,1999,24.7,4,0,0,40,23,2,5,31,19,0,1,0,140,58,31,65.2
304,Karol Linetty,POL,MF,Torino,25,1995,20.4,5,0,0,31,29,1,6,15,28,0,0,0,116,8,14,36.4
305,Pol Lirola,ESP,DF|FW,Fiorentina,22,1997,5.5,3,0,0,4,3,1,22,6,8,0,0,0,30,3,4,42.9
306,Fernando Llorente,ESP,FW,Udinese,35,1985,7.9,2,0,0,21,11,3,0,2,1,0,0,0,21,54,32,62.8
307,Fernando Llorente,ESP,FW|MF,Napoli,35,1985,0.6,0,0,0,3,1,0,0,0,0,0,0,0,2,5,1,83.3
308,Stanislav Lobotka,SVK,MF,Napoli,25,1994,1.7,2,0,0,5,2,0,0,0,1,0,0,0,10,2,4,33.3
309,Manuel Locatelli,ITA,MF,Sassuolo,22,1998,32.0,9,0,0,52,48,1,41,51,47,1,1,0,239,48,45,51.6
310,Maxime Lopez,FRA,MF,Sassuolo,22,1997,20.7,7,0,0,24,22,0,38,16,13,0,0,0,100,3,10,23.1
311,Pau López,ESP,GK,Roma,25,1994,20.2,0,0,0,0,1,0,0,0,0,0,0,0,23,2,0,100.0
312,Matteo Lovato,ITA,DF,Hellas Verona,20,2000,15.4,5,0,0,25,9,0,2,37,12,0,1,0,102,30,41,42.3
313,Hirving Lozano,MEX,FW,Napoli,25,1995,21.8,6,0,0,33,69,11,73,18,18,1,0,0,95,15,23,39.5
314,José Luis Palomino,ARG,DF,Atalanta,30,1990,27.0,3,0,0,48,16,2,14,79,33,0,1,0,222,59,45,56.7
315,Romelu Lukaku,BEL,FW,Inter,27,1993,32.0,4,0,0,34,48,19,19,3,1,0,0,0,51,45,57,44.1
316,Saša Lukić,SRB,MF,Torino,23,1996,23.4,4,0,0,45,37,1,35,17,13,1,0,0,101,23,55,29.5
317,Senad Lulić,BIH,DF,Lazio,34,1986,8.0,1,0,0,13,3,2,23,4,7,0,0,0,53,9,4,69.2
318,Sebastiano Luperto,ITA,DF,Crotone,23,1996,20.9,5,1,1,28,19,0,1,27,20,0,0,0,113,26,22,54.2
319,Lyanco,BRA,DF,Torino,23,1997,21.8,8,0,0,24,13,0,6,46,14,0,1,0,178,36,24,60.0
320,Charalambos Lykogiannis,GRE,DF,Cagliari,26,1993,26.9,10,2,2,29,24,2,118,32,21,0,1,0,121,57,33,63.3
321,Lisandro Magallán,ARG,DF,Crotone,26,1993,24.2,10,0,0,65,13,0,1,44,31,0,1,0,141,43,26,62.3
322,Christian Maggio,ITA,DF,Benevento,38,1982,3.3,2,0,0,6,7,0,3,2,4,0,0,0,12,3,8,27.3
323,Giulio Maggiore,ITA,MF,Spezia,22,1998,24.6,3,0,0,58,41,4,19,19,36,0,0,0,132,31,33,48.4
324,Francesco Magnanelli,ITA,MF,Sassuolo,35,1984,4.9,2,0,0,5,6,0,0,13,5,0,0,0,50,3,13,18.8
325,Giangiacomo Magnani,ITA,DF,Hellas Verona,24,1995,16.8,8,0,0,44,29,0,2,44,15,0,0,1,82,76,40,65.5
326,Jean-Victor Makengo,FRA,MF,Udinese,22,1998,5.8,1,0,0,12,4,0,5,5,7,0,0,0,27,6,0,100.0
327,Nikola Maksimović,SRB,DF,Napoli,28,1991,13.4,1,0,0,5,6,0,2,21,9,0,0,1,71,35,11,76.1
328,Kévin Malcuit,MAR,DF,Fiorentina,29,1991,2.3,0,0,0,4,1,0,10,3,3,0,0,0,7,2,1,66.7
329,Kévin Malcuit,MAR,FW|MF,Napoli,29,1991,0.4,0,0,0,0,0,0,0,2,1,0,0,0,2,1,1,50.0
330,Daniel Maldini,ITA,FW|DF,Milan,18,2001,0.3,0,0,0,3,1,0,2,0,0,0,0,0,4,0,0,
331,Ruslan Malinovskyi,UKR,MF|FW,Atalanta,27,1993,20.8,3,0,0,46,53,1,122,2,8,0,0,0,121,29,31,48.3
332,Dennis Man,ROU,FW|MF,Parma,21,1998,7.8,1,0,0,6,7,0,7,2,6,0,0,0,31,6,7,46.2
333,Gianluca Mancini,ITA,DF,Roma,24,1996,31.7,10,0,0,67,26,1,14,72,29,0,1,0,181,55,33,62.5
334,Rolando Mandragora,ITA,MF,Udinese,23,1997,4.4,0,0,0,5,4,0,6,6,5,0,1,0,14,6,2,75.0
335,Rolando Mandragora,ITA,MF,Torino,23,1997,16.9,5,1,1,32,30,1,36,20,4,0,0,0,85,9,8,52.9
336,Mario Mandžukić,CRO,FW,Milan,34,1986,2.4,1,0,0,9,2,2,1,2,6,0,0,0,7,9,13,40.9
337,Niccolò Manfredini,ITA,GK,Benevento,32,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
338,Kostas Manolas,GRE,DF,Napoli,29,1991,25.5,5,0,0,21,12,0,0,23,18,1,1,0,93,41,37,52.6
339,Juan Manuel Ramos,URU,DF,Spezia,23,1996,3.3,1,0,0,3,2,1,12,2,0,0,0,0,12,4,0,100.0
340,Federico Marchetti,ITA,GK,Genoa,37,1983,3.7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0.0
341,Riccardo Marchizza,ITA,DF,Spezia,22,1998,17.3,4,0,0,17,14,3,71,11,11,0,1,0,82,22,18,55.0
342,Gian Marco Ferrari,ITA,DF,Sassuolo,28,1992,33.5,7,0,0,41,36,0,2,50,20,1,0,0,172,69,52,57.0
343,Răzvan Marin,ROU,MF,Cagliari,24,1996,32.9,6,0,0,49,23,2,161,29,33,0,0,0,186,10,18,35.7
