Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
106,Nicolò Casale,ITA,DF,Hellas Verona,23,1998,28.7,46,30,25,19,2,21,37,56.8,16,31,12,19,49,95,95,0
107,Francesco Cassata,ITA,MF,Genoa,24,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
108,Samu Castillejo,ESP,FW|MF,Milan,26,1995,1.4,4,2,0,2,2,1,8,12.5,7,4,1,3,2,6,1,0
109,Gaetano Castrovilli,ITA,MF,Fiorentina,24,1997,15.5,25,17,15,6,4,12,23,52.2,11,18,4,14,11,36,6,0
110,Danilo Cataldi,ITA,MF,Lazio,26,1994,19.0,36,17,15,17,4,12,38,31.6,26,24,12,12,17,53,19,1
111,Pietro Ceccaroni,ITA,DF,Venezia,25,1995,34.7,55,31,33,18,4,25,36,69.4,11,45,32,13,30,85,143,0
112,Federico Ceccherini,ITA,DF,Hellas Verona,29,1992,26.2,32,16,19,10,3,19,33,57.6,14,13,8,5,50,82,76,1
113,Emil Ceide,NOR,FW|MF,Sassuolo,19,2001,0.6,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0
114,Luca Ceppitelli,ITA,DF,Cagliari,31,1989,16.1,23,12,13,10,0,16,27,59.3,11,21,14,7,25,48,54,0
115,Damir Ceter,COL,FW,Cagliari,23,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
116,Julian Chabot,GER,DF,Sampdoria,23,1998,5.4,12,10,8,4,0,8,10,80.0,2,7,4,3,9,21,28,1
117,Giorgio Chiellini,ITA,DF,Juventus,36,1984,15.0,22,13,17,4,1,7,13,53.8,6,24,18,6,22,44,59,0
118,Federico Chiesa,ITA,MF|FW,Juventus,23,1997,9.6,26,19,9,9,8,12,26,46.2,14,7,0,7,4,30,3,0
119,Vlad Chiricheș,ROU,DF,Sassuolo,31,1989,25.6,28,15,19,9,0,10,21,47.6,11,34,21,13,41,69,71,4
120,Riccardo Ciervo,ITA,MF|DF,Sampdoria,19,2002,2.5,8,3,4,3,1,2,6,33.3,4,1,0,1,2,10,2,0
121,Moustapha Cissé,GUI,FW,Atalanta,17,2003,0.4,1,0,0,1,0,0,3,0.0,3,0,0,0,0,1,0,0
122,Giorgio Cittadini,ITA,DF,Atalanta,19,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
123,Ebrima Colley,GAM,FW|MF,Spezia,21,2000,4.4,6,1,3,2,1,1,7,14.3,6,8,0,8,3,9,2,0
124,Omar Colley,GAM,DF,Sampdoria,28,1992,30.5,47,36,32,14,1,22,32,68.8,10,31,19,12,80,127,135,2
125,Andrea Consigli,ITA,GK,Sassuolo,34,1987,36.9,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,23,3
126,Andrea Conti,ITA,DF|MF,Sampdoria,27,1994,2.6,4,2,2,1,1,3,6,50.0,3,4,0,4,7,11,4,0
127,Andrea Conti,ITA,DF,Milan,27,1994,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
128,Diego Coppola,ITA,DF,Hellas Verona,17,2003,2.8,8,4,4,4,0,3,3,100.0,0,5,1,4,4,12,5,0
129,Joaquín Correa,ARG,FW,Inter,26,1994,11.4,11,5,2,6,3,1,13,7.7,12,8,1,7,3,14,2,0
130,Lassana Coulibaly,MLI,MF,Salernitana,25,1996,25.9,58,32,29,26,3,24,62,38.7,38,40,13,27,22,80,27,0
131,Mamadou Coulibaly,SEN,MF,Salernitana,22,1999,9.0,15,12,8,5,2,7,20,35.0,13,9,0,9,11,26,9,0
132,Alessio Cragno,ITA,GK,Cagliari,27,1994,35.0,3,3,2,1,0,3,3,100.0,0,0,0,0,1,4,14,1
133,Domenico Criscito,ITA,DF,Genoa,34,1986,18.0,37,21,19,14,4,16,25,64.0,9,22,12,10,39,76,57,0
134,Bryan Cristante,ITA,MF,Roma,26,1995,29.8,79,39,31,39,9,37,69,53.6,32,31,5,26,40,119,45,0
135,Domen Črnigoj,SVN,MF,Venezia,25,1995,20.9,21,13,7,11,3,11,29,37.9,18,27,8,19,24,45,42,0
136,Giovanni Crociata,ITA,FW,Empoli,23,1997,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
137,Juan Cuadrado,COL,DF|MF,Juventus,33,1988,27.6,48,23,30,13,5,30,55,54.5,25,23,5,18,29,77,34,0
138,Mickaël Cuisance,FRA,MF,Venezia,21,1999,10.2,23,9,7,12,4,10,28,35.7,18,14,0,14,12,35,5,0
139,Patrick Cutrone,ITA,FW,Empoli,23,1998,15.6,5,2,0,3,2,1,9,11.1,8,11,1,10,5,10,1,0
140,Danilo D'Ambrosio,ITA,DF,Inter,32,1988,11.1,30,15,21,8,1,11,22,50.0,11,21,10,11,8,38,20,0
141,Mikkel Damsgaard,DEN,MF|FW,Sampdoria,21,2000,6.4,27,13,12,11,4,20,36,55.6,16,16,1,15,7,34,7,0
142,Danilo,BRA,DF|MF,Juventus,30,1991,21.0,37,26,20,13,4,18,28,64.3,10,21,12,9,32,69,53,1
143,Ebrima Darboe,GAM,MF,Roma,20,2001,0.7,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,1
144,Matteo Darmian,ITA,DF,Inter,31,1989,16.7,32,16,17,9,6,16,41,39.0,25,16,1,15,19,51,25,0
145,Paweł Dawidowicz,POL,DF,Hellas Verona,26,1995,13.3,30,18,16,10,4,16,25,64.0,9,14,11,3,21,51,53,0
146,Sebastien De Maio,FRA,DF,Udinese,34,1987,2.0,5,1,4,1,0,1,9,11.1,8,6,5,1,1,6,9,0
147,Tommaso De Nipoti,ITA,FW,Atalanta,18,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
148,Mattia De Sciglio,ITA,DF,Juventus,28,1992,13.0,24,12,7,9,8,11,24,45.8,13,10,0,10,10,34,30,0
149,Lorenzo De Silvestri,ITA,DF,Bologna,33,1988,25.5,23,14,13,8,2,9,31,29.0,22,25,7,18,26,49,52,0
150,Grégoire Defrel,MTQ,FW,Sassuolo,30,1991,15.1,15,9,4,8,3,6,16,37.5,10,11,1,10,4,19,11,0
151,Alessandro Deiola,ITA,MF,Cagliari,25,1995,23.7,47,22,15,25,7,23,58,39.7,35,28,10,18,26,73,45,0
152,Filippo Delli Carri,ITA,DF,Salernitana,22,1999,3.7,6,4,4,2,0,5,14,35.7,9,6,2,4,4,10,14,0
153,Merih Demiral,TUR,DF,Atalanta,23,1998,21.3,31,17,18,12,1,15,28,53.6,13,26,14,12,58,89,68,1
154,Diego Demme,GER,MF,Napoli,29,1991,7.7,21,12,4,13,4,10,21,47.6,11,11,2,9,9,30,2,0
155,Fabio Depaoli,ITA,DF,Hellas Verona,24,1997,7.8,12,7,6,4,2,1,7,14.3,6,9,2,7,8,20,14,0
156,Fabio Depaoli,ITA,MF|DF,Sampdoria,24,1997,1.2,3,1,1,2,0,0,2,0.0,2,2,1,1,1,4,2,0
157,Mattia Destro,ITA,FW,Genoa,30,1991,19.4,9,4,1,4,4,1,6,16.7,5,14,1,13,2,11,16,0
158,Gerard Deulofeu,ESP,FW|MF,Udinese,27,1994,29.1,11,6,2,3,6,7,29,24.1,22,14,0,14,9,20,4,0
159,Jacopo Dezi,ITA,MF,Venezia,29,1992,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
160,Samuel Di Carmine,ITA,FW,Hellas Verona,32,1988,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
161,Federico Di Francesco,ITA,FW|MF,Empoli,27,1994,15.2,16,5,2,8,6,9,23,39.1,14,17,1,16,9,25,11,0
162,Giovanni Di Lorenzo,ITA,DF,Napoli,27,1993,31.9,58,36,30,20,8,33,58,56.9,25,28,10,18,38,96,46,1
163,Francesco Di Mariano,ITA,FW,Venezia,25,1996,0.7,1,1,0,1,0,0,0,,0,2,1,1,0,1,0,0
164,Francesco Di Tacchio,ITA,MF,Salernitana,31,1990,13.9,17,7,5,10,2,9,25,36.0,16,16,8,8,22,39,25,0
165,Amadou Diawara,GUI,MF,Roma,24,1997,1.9,7,2,5,2,0,1,3,33.3,2,2,0,2,0,7,1,0
166,Brahim Díaz,ESP,MF,Milan,21,1999,20.6,23,17,3,11,9,8,22,36.4,14,11,0,11,8,31,4,0
167,Mitchell Dijks,NED,DF|FW,Bologna,28,1993,7.7,15,6,6,6,3,5,12,41.7,7,11,2,9,3,18,10,1
168,Federico Dimarco,ITA,DF,Inter,23,1997,15.9,28,15,10,15,3,13,24,54.2,11,6,1,5,19,47,19,0
169,Filippo Distefano,ITA,FW,Fiorentina,17,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
170,Koffi Djidji,CIV,DF,Torino,28,1992,19.3,48,29,21,23,4,14,18,77.8,4,20,9,11,34,82,60,0
171,Berat Djimsiti,ALB,DF,Atalanta,28,1993,25.1,43,24,21,20,2,29,46,63.0,17,21,11,10,31,74,56,0
172,Nicolás Domínguez,ARG,MF,Bologna,23,1998,22.4,76,45,36,32,8,32,76,42.1,44,38,9,29,32,108,34,1
173,Bartłomiej Drągowski,POL,GK,Fiorentina,23,1997,6.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,2
