Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
489,Stefano Sabelli,ITA,DF,Brescia,26,1993,35.2,0,13,4,30.8,0.37,0.11,0.00,0.00,23.8,2,0,0,0.5,0.5,0.04,-0.5,-0.5
490,Alexis Saelemaekers,BEL,FW|DF,Milan,20,1999,7.6,1,9,2,22.2,1.18,0.26,0.11,0.50,17.6,0,0,0,0.6,0.6,0.07,+0.4,+0.4
491,Jacopo Sala,ITA,DF,SPAL,27,1991,9.5,0,14,2,14.3,1.48,0.21,0.00,0.00,21.6,0,0,0,0.6,0.6,0.04,-0.6,-0.6
492,Bartosz Salamon,POL,DF,SPAL,28,1991,3.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
493,Eddie Salcedo,ITA,FW|MF,Hellas Verona,17,2001,7.6,1,21,7,33.3,2.78,0.93,0.05,0.14,16.9,0,0,0,1.7,1.7,0.08,-0.7,-0.7
494,Antonio Sanabria,PAR,FW,Genoa,23,1996,15.4,6,41,20,48.8,2.66,1.30,0.15,0.30,17.9,2,0,0,4.6,4.6,0.11,+1.4,+1.4
495,Alexis Sánchez,CHI,FW,Inter,30,1988,10.3,4,21,11,52.4,2.05,1.07,0.14,0.27,16.3,1,1,1,4.3,3.5,0.17,-0.3,-0.5
496,Alex Sandro,BRA,DF,Juventus,28,1991,26.5,1,16,4,25.0,0.60,0.15,0.06,0.25,17.8,0,0,0,0.8,0.8,0.05,+0.2,+0.2
497,Nicola Sansone,ITA,FW|MF,Bologna,27,1991,25.2,4,76,19,25.0,3.01,0.75,0.01,0.05,21.4,7,3,4,9.9,6.7,0.09,-5.9,-5.7
498,Federico Santander,PAR,FW,Bologna,28,1991,8.6,1,24,5,20.8,2.81,0.58,0.00,0.00,17.2,2,1,1,3.5,2.7,0.12,-2.5,-2.7
499,Davide Santon,ITA,DF,Roma,28,1991,6.9,0,2,1,50.0,0.29,0.15,0.00,0.00,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
500,Samir Santos,BRA,DF,Udinese,24,1994,17.2,1,5,2,40.0,0.29,0.12,0.20,0.50,16.9,0,0,0,0.7,0.7,0.14,+0.3,+0.3
501,Riccardo Saponara,ITA,MF|FW,Genoa,27,1991,1.9,0,5,0,0.0,2.68,0.00,0.00,,16.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3
502,Riccardo Saponara,ITA,MF|FW,Lecce,27,1991,10.5,2,26,9,34.6,2.47,0.86,0.08,0.22,19.1,0,0,0,1.9,1.9,0.08,+0.1,+0.1
503,Lasse Schöne,DEN,MF,Genoa,33,1986,27.0,2,34,9,26.5,1.26,0.33,0.06,0.22,23.7,14,0,1,3.6,2.8,0.08,-1.6,-0.8
504,Jerdy Schouten,NED,MF,Bologna,22,1997,12.0,0,7,1,14.3,0.58,0.08,0.00,0.00,25.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2
505,Matteo Scozzarella,ITA,MF,Parma,31,1988,10.2,0,4,1,25.0,0.39,0.10,0.00,0.00,29.1,1,0,0,0.1,0.1,0.04,-0.1,-0.1
506,Ken Sema,SWE,DF|MF,Udinese,25,1993,27.3,2,17,4,23.5,0.62,0.15,0.12,0.50,21.7,1,0,0,0.6,0.6,0.04,+1.4,+1.4
507,Alessandro Semprini,ITA,DF,Brescia,21,1998,7.0,1,2,1,50.0,0.29,0.14,0.50,1.00,18.6,0,0,0,0.9,0.9,0.43,+0.1,+0.1
508,Stefano Sensi,ITA,MF,Inter,23,1995,8.0,3,29,10,34.5,3.61,1.24,0.10,0.30,22.4,4,0,0,1.4,1.4,0.05,+1.6,+1.6
509,Luigi Sepe,ITA,GK,Parma,28,1991,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
510,Yevhen Shakhov,UKR,MF|FW,Lecce,28,1990,12.1,1,14,5,35.7,1.16,0.41,0.07,0.20,21.0,0,0,0,0.9,0.9,0.06,+0.1,+0.1
511,Luca Siligardi,ITA,MF|FW,Parma,31,1988,3.7,0,11,3,27.3,2.94,0.80,0.00,0.00,22.5,0,0,0,0.6,0.6,0.05,-0.6,-0.6
512,André Silva,POR,FW,Milan,23,1995,0.7,0,2,0,0.0,3.00,0.00,0.00,,11.6,0,0,0,0.2,0.2,0.11,-0.2,-0.2
513,Marco Silvestri,ITA,GK,Hellas Verona,28,1991,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
514,Giovanni Simeone,ARG,FW,Cagliari,24,1995,32.5,12,87,30,34.5,2.68,0.92,0.14,0.40,15.1,0,0,0,11.8,11.8,0.14,+0.2,+0.2
515,Wilfried Singo,CIV,DF,Torino,18,2000,1.5,1,2,1,50.0,1.36,0.68,0.50,1.00,13.7,0,0,0,0.1,0.1,0.05,+0.9,+0.9
516,Salvatore Sirigu,ITA,GK,Torino,32,1987,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
517,Łukasz Skorupski,POL,GK,Bologna,28,1991,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
518,Andreas Skov Olsen,DEN,FW|MF,Bologna,19,1999,8.4,1,20,7,35.0,2.37,0.83,0.05,0.14,17.4,1,0,0,2.1,2.1,0.10,-1.1,-1.1
519,Simon Skrabb,FIN,FW|MF,Brescia,24,1995,2.9,0,3,1,33.3,1.05,0.35,0.00,0.00,21.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
520,Milan Škriniar,SVK,DF,Inter,24,1995,29.2,0,13,4,30.8,0.45,0.14,0.00,0.00,16.8,0,0,0,1.0,1.0,0.07,-1.0,-1.0
521,Chris Smalling,ENG,DF,Roma,29,1989,28.5,3,19,5,26.3,0.67,0.18,0.16,0.60,9.8,0,0,0,1.9,1.7,0.09,+1.1,+1.3
