Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
388,Pedro Obiang,EQG,MF,Sassuolo,30,1992,9.7,26,17,12,12,2,10,18,55.6,8,12,2,10,8,34,15,0
389,Guillermo Ochoa,MEX,GK,Salernitana,37,1985,20.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,1
390,Marios Oikonomou,GRE,DF,Sampdoria,29,1992,2.4,3,2,3,0,0,1,3,33.3,2,5,4,1,4,7,13,0
391,David Okereke,NGA,FW|MF,Cremonese,24,1997,25.2,12,8,4,5,3,3,16,18.8,13,23,3,20,10,22,12,0
392,Caleb Okoli,ITA,DF,Atalanta,21,2001,10.7,21,17,14,6,1,10,25,40.0,15,10,5,5,30,51,44,3
393,Mathías Olivera,URU,DF,Napoli,24,1997,18.3,39,23,16,16,7,22,43,51.2,21,28,2,26,22,61,26,0
394,André Onana,CMR,GK,Inter,26,1996,24.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,0
395,Divock Origi,BEL,FW,Milan,27,1995,11.4,10,5,4,3,3,5,10,50.0,5,6,2,4,0,10,13,0
396,Riccardo Orsolini,ITA,FW,Bologna,25,1997,23.6,30,19,15,10,5,17,41,41.5,24,29,3,26,8,38,18,0
397,Victor Osimhen,NGA,FW,Napoli,23,1998,28.5,10,6,1,2,7,0,7,0.0,7,6,1,5,6,16,29,0
398,Remi Oudin,FRA,FW|MF,Lecce,25,1996,14.7,25,13,9,12,4,10,23,43.5,13,16,2,14,29,54,23,0
399,Adam Ounas,ALG,FW,Napoli,25,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
400,Simone Pafundi,ITA,MF|FW,Udinese,16,2006,0.9,8,5,1,5,2,2,4,50.0,2,0,0,0,1,9,0,0
401,Flavio Paoletti,ITA,MF,Sampdoria,19,2003,3.2,2,2,0,2,0,1,5,20.0,4,1,0,1,5,7,9,0
402,Leandro Paredes,ARG,MF,Juventus,28,1994,10.9,19,13,7,11,1,10,22,45.5,12,8,0,8,17,36,22,0
403,Fabiano Parisi,ITA,DF,Empoli,21,2000,31.4,65,35,37,21,7,30,72,41.7,42,51,16,35,41,106,91,0
404,Mario Pašalić,CRO,MF|FW,Atalanta,27,1995,19.7,22,10,6,14,2,6,23,26.1,17,22,4,18,21,43,13,0
405,Patric,ESP,DF,Lazio,29,1993,15.7,17,11,12,3,2,11,16,68.8,5,17,12,5,11,28,53,1
406,Rui Patrício,POR,GK,Roma,34,1988,35.0,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,6,3
