Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
172,Blerim Džemaili,SUI,MF,Bologna,32,1986,19.4,926,12,148,519,287,28,926,45,27,60.0,18,40.0,531,3198,2013,55,54,6,23,19,591,69
173,Simone Edera,ITA,MF,Torino,21,1997,0.9,44,1,3,16,25,2,44,4,0,0.0,4,100.0,27,155,64,3,2,1,4,2,32,4
174,Simone Edera,ITA,FW,Bologna,21,1997,2.2,118,1,21,46,53,10,118,14,7,50.0,7,50.0,60,394,243,5,7,1,6,4,77,11
175,Albin Ekdal,SWE,MF,Sampdoria,29,1989,29.4,1978,108,450,1310,242,14,1978,42,35,83.3,7,16.7,1067,5945,2947,39,51,3,27,31,1345,25
176,Valentin Eysseric,FRA,FW|MF,Fiorentina,26,1992,4.0,218,3,37,101,81,3,218,5,1,20.0,4,80.0,136,760,300,8,9,1,13,7,161,35
177,Diego Falcinelli,ITA,FW,Bologna,27,1991,7.8,242,3,19,119,109,27,242,18,8,44.4,10,55.6,176,808,277,8,7,6,27,31,192,55
178,Iago Falque,ESP,FW|MF,Torino,28,1990,17.9,1137,2,64,513,574,93,1137,41,18,43.9,23,56.1,739,5085,2162,76,51,28,46,36,871,168
179,Paolo Faragò,ITA,MF|DF,Cagliari,25,1993,18.9,1091,49,230,525,349,51,1091,20,12,60.0,8,40.0,439,2338,1082,37,31,7,30,20,627,105
180,Mohamed Fares,ALG,DF,SPAL,22,1996,32.8,1940,95,564,773,633,52,1940,63,35,55.6,28,44.4,1026,7258,4110,101,71,10,52,39,1128,171
181,Diego Farias,BRA,FW,Empoli,28,1990,13.3,467,5,22,162,290,78,467,28,13,46.4,15,53.6,338,2074,1237,50,26,30,29,19,378,107
182,Diego Farias,BRA,FW,Cagliari,28,1990,7.8,334,4,23,128,185,36,334,15,4,26.7,11,73.3,217,1337,578,19,18,7,16,17,263,67
183,Andrea Favilli,ITA,FW|DF,Genoa,21,1997,1.9,68,2,4,17,47,13,68,4,2,50.0,2,50.0,40,312,173,7,1,3,6,1,51,21
184,Federico Fazio,ARG,DF,Roma,31,1987,31.2,1785,246,790,914,95,40,1785,17,14,82.4,3,17.6,857,4142,2361,19,7,0,16,6,1010,5
185,Luiz Felipe,ITA,DF,Lazio,21,1997,14.3,865,101,388,428,56,9,865,5,3,60.0,2,40.0,490,3350,1808,12,11,0,8,4,553,7
186,Edimilson Fernandes,SUI,MF,Fiorentina,22,1996,21.9,1112,49,198,702,223,23,1112,39,20,51.3,19,48.7,696,4069,1687,35,30,7,35,34,714,51
187,Alex Ferrari,ITA,DF,Sampdoria,24,1994,6.0,385,39,154,212,21,6,385,1,0,0.0,1,100.0,207,954,531,0,3,0,8,1,242,3
188,Sergio Floccari,ITA,FW,SPAL,36,1981,10.8,353,4,27,163,168,41,353,13,7,53.8,6,46.2,238,1569,407,14,9,4,39,21,274,62
