Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
74,Niko Bungert,GER,DF,Mainz 05,31,1986,3.2,0,0,0,2,2,0,0,4,5,0,0,0,15,10,8,55.6
75,Guido Burgstaller,AUT,FW,Schalke 04,29,1989,17.0,4,0,0,24,24,29,16,2,9,0,0,0,41,33,63,34.4
76,Jonathan Burkardt,GER,FW|MF,Mainz 05,18,2000,2.9,0,0,0,2,2,0,6,3,4,0,0,0,12,4,6,40.0
77,Roman Bürki,SUI,GK,Dortmund,27,1990,32.0,1,0,0,0,8,0,0,2,0,0,0,0,59,7,1,87.5
78,Gaëtan Bussmann,FRA,DF,Mainz 05,27,1991,1.0,0,0,0,4,1,0,1,1,1,0,0,0,7,6,3,66.7
79,Jakub Błaszczykowski,POL,MF,Wolfsburg,32,1985,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
80,Caiuby,BRA,MF|FW,Augsburg,30,1988,11.2,3,0,0,19,18,3,16,5,10,0,0,0,54,55,43,56.1
81,Daniel Caligiuri,ITA,DF|FW,Schalke 04,30,1988,30.6,9,0,0,30,38,0,179,50,52,1,1,0,224,39,38,50.6
82,Jan-Ingwer Callsen-Bracker,GER,DF,Augsburg,33,1984,0.1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
83,Ignacio Camacho,ESP,MF,Wolfsburg,28,1990,6.0,3,0,0,14,11,1,2,18,9,0,0,0,36,30,10,75.0
84,Jonas Carls,GER,FW,Schalke 04,21,1997,1.0,0,0,0,0,0,0,5,1,2,0,0,0,6,0,0,
85,Koen Casteels,BEL,GK,Wolfsburg,26,1992,25.5,0,0,0,0,2,0,0,0,0,0,0,0,35,9,0,100.0
86,Gonzalo Castro,GER,MF,Stuttgart,31,1987,18.8,4,0,0,30,15,0,84,29,28,0,2,0,103,13,24,35.1
87,Timothy Chandler,USA,DF,Eint Frankfurt,28,1990,0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,100.0
88,Per Ciljan Skjelbred,NOR,MF,Hertha BSC,31,1987,11.1,3,0,0,15,10,1,8,20,18,0,0,0,68,12,11,52.2
