Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
486,Jorge Moreno,ESP,DF,Rayo Vallecano,20,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
487,Marco Moreno,ESP,DF,Atlético Madrid,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
488,Sergio Moreno,ESP,FW,Rayo Vallecano,22,1999,0,,,,,0,,0,0,,5,,,,,,,,,,,
489,Tete Morente,ESP,MF,Elche,24,1996,32,1632,51,47.7,18.1,18,70,3,14,27,5,1.06,21,22,-1,-0.06,+0.50,18.4,27.6,-9.1,-0.50,+0.32
490,Ilaix Moriba,GUI,MF,Valencia,18,2003,14,818,58,23.9,9.1,9,74,4,5,30,0,1.07,6,11,-5,-0.55,-0.55,8.5,11.9,-3.4,-0.37,-0.18
491,Manu Morlanes,ESP,MF,Espanyol,22,1999,27,1144,42,33.5,12.7,11,67,2,16,26,3,1.15,23,23,0,0.00,+0.51,17.3,19.8,-2.6,-0.20,+0.28
492,Loren Morón,ESP,FW|MF,Espanyol,27,1993,21,563,27,16.5,6.3,4,64,0,17,18,15,1.00,5,10,-5,-0.80,-0.55,6.1,6.9,-0.8,-0.13,+0.30
493,Loren Morón,ESP,FW,Betis,27,1993,1,4,4,0.1,0.0,0,,0,1,4,1,1.00,0,0,0,0.00,-0.58,0.1,0.1,0.0,+0.14,-0.12
494,Morro,ESP,GK,Rayo Vallecano,20,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,
495,Cristhian Mosquera,COL,DF,Valencia,17,2004,6,212,35,6.2,2.4,3,60,1,3,11,16,0.83,1,5,-4,-1.70,-1.67,1.3,4.5,-3.3,-1.38,-1.23
496,Toni Moya,ESP,MF,Alavés,23,1998,28,1386,50,40.5,15.4,17,74,4,11,12,9,0.64,8,27,-19,-1.23,-0.57,14.2,25.2,-11.0,-0.72,-0.33
497,Iker Muniain,ESP,MF,Athletic Club,28,1992,35,2785,80,81.4,30.9,34,81,15,1,19,2,1.46,35,27,+8,+0.26,+0.40,40.5,27.1,+13.4,+0.43,+0.73
498,Aihen Muñoz,ESP,DF,Real Sociedad,23,1997,20,1342,67,39.2,14.9,15,84,9,5,16,11,1.95,19,18,+1,+0.07,-0.02,21.9,17.4,+4.5,+0.30,-0.06
499,Jeison Murillo,COL,DF,Celta Vigo,29,1992,19,1117,59,32.7,12.4,12,83,8,7,18,12,1.00,12,22,-10,-0.81,-1.20,13.6,17.8,-4.2,-0.34,-0.41
500,Vedat Muriqi,KVX,FW,Mallorca,27,1994,16,1438,90,42.0,16.0,16,90,15,0,,0,1.19,18,28,-10,-0.63,+0.15,18.2,21.3,-3.1,-0.20,+0.14
501,Yunus Musah,USA,MF|FW,Valencia,18,2002,29,1259,43,36.8,14.0,13,75,1,16,17,5,1.31,13,18,-5,-0.36,-0.36,11.3,17.2,-5.9,-0.42,-0.30
502,Shkodran Mustafi,GER,DF,Levante,29,1992,11,658,60,19.2,7.3,8,77,5,3,13,1,0.64,5,12,-7,-0.96,-0.37,8.7,10.0,-1.2,-0.17,-0.21
503,Mamadou N'Diaye,,MF,Alavés,24,1996,32,2312,72,67.6,25.7,26,84,16,6,23,0,0.91,27,43,-16,-0.62,+0.84,,,,,
504,Nacho,ESP,DF,Real Madrid,31,1990,28,1555,56,45.5,17.3,17,87,14,11,7,8,2.25,42,19,+23,+1.33,+0.08,35.6,25.2,+10.4,+0.60,-0.24
505,Manuel Navarro,ESP,MF,Rayo Vallecano,20,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,
506,Roberto Navarro,ESP,MF|FW,Real Sociedad,19,2002,6,199,33,5.8,2.2,3,54,0,3,12,12,1.67,2,3,-1,-0.45,-0.56,2.4,1.3,+1.1,+0.49,+0.17
